インプット情報,アウトプット情報,使用スライド,情報源,情報特性,備考,検討事項,営業担当からの回答,出力結果 1,出力結果 2
顧客名,顧客名,1,一次データ（顧客情報）,一次データ,営業担当者が顧客情報を入力,顧客名を入力させると個人情報を取り扱うサービスになるため、顧客目線で導入ハードルが一定難しくなる懸念あり。必ずしも必要でなければ、顧客名は担当営業に手打ちしてもらう？,"個人情報等を気にせず、システムに入力 or 事前に登録できるようにしたい
店舗別でアカウントを契約してもらうために、店舗情報は自動で入れるようにしたい
利用規約で個人情報の取り扱い＆秘密保持を明記しておけば問題なし",,
物件名,物件名,1,一次データ（マイソク）,一次データ,マイソクから直接取得,,,,
作成日,作成日,1,システム日付,計算,提案書作成日を自動挿入,,,,
担当者情報,担当者名・連絡先,1,一次データ（営業担当情報）,一次データ,"営業担当者が自社情報を入力
","そもそもLLMに情報を渡していいのか？
出力した後に更新するか？","個人情報等を気にせず、システムに入力 or 事前に登録できるようにしたい
店舗別でアカウントを契約してもらうために、店舗情報は自動で入れるようにしたい
利用規約で個人情報の取り扱い＆秘密保持を明記しておけば問題なし",,
物件名・価格・面積・築年・最寄駅・徒歩分数・間取り・階数・向き,物件ハイライト（推しポイント3点）,2,LLM（Gemini/Claude/GPT等）,AI生成,マイソク情報を基にLLMが文章生成。精度要確認,"購入を煽るような文言はNG
NG用語集をつくってそれを出力しない必要がある","景表法（不当景品類及び不当表示防止法）を気にするのみ
景表法の例は以下です
・断定表現：絶対、必ず、間違いなく、完全、完璧、万全等
・裏付けの無い表現：日本一、業界初、世界一等、地域No.1、地域最大級等　※エビデンスがあればOK
・確約できない表現：特選、厳選、最高、最高値等　※「最高値で売る」と約束することは虚偽表示の恐れあり
・期日期間をコミットする表現：即座に、即売れ等
・他社への誹謗中傷：他社（〇〇社）より優れた等
・おとり系の表現：（具体的な）購入希望者がいます等　※本当にいれば別
・特別さを過度に示す表現：今だけ、期間限定等",,
－,イメージ画像,2,画像生成AI / ストックフォト,AI生成,家族のイメージ画像。著作権注意,著作権大丈夫か？,,,
間取り図画像,間取り図,3,一次データ（マイソクから取得、間取り図データ入力）,一次データ,マイソクから画像抽出、間取り図データを直接入力,間取り図データ入力のがいい,,,
間取り・部屋数・各部屋面積,部屋の使い方提案,3,LLM（Gemini/Claude/GPT等）,AI生成,間取り情報からLLMが提案文生成,,,,
間取り・設備配置,動線コメント,3,LLM（Gemini/Claude/GPT等）,AI生成,間取り情報からLLMが動線解説生成,,,,
向き・階数・バルコニー有無,採光・眺望コメント,3,LLM（Gemini/Claude/GPT等）,AI生成,向き・階数・バルコニー情報からLLMが採光・眺望コメント生成,,,,
最寄駅・路線,最寄り駅情報,4,一次データ（マイソク）,一次データ,マイソクから直接取得,,,,
物件住所・主要駅リスト,主要駅への所要時間,4,交通API（Google Maps Directions API / NAVITIME API / 駅すぱあとAPI）,外部データ＋計算,APIで主要駅から物件住所への経路検索し所要時間を取得。,"Google MapのAPIにコストが発生
",,,
物件住所・路線情報,路線図イメージ,4,地図API（Google Maps Static API）または画像生成,外部データ,最寄駅付近の路線図の簡易画像を生成または取得,"Google MapのAPIにコストが発生
ユーザに勤務地の最寄り駅を入力してもらうと、そこを含めた路線図イメージ（主要駅までや、勤務地までの時間と経路）が出力されたら嬉しいのですが、画像出力は可能か？",,,
物件住所,周辺施設一覧（スーパー）,5,POI検索API（Google Places API / Yahoo!ローカルサーチAPI）,外部データ＋計算,住所から半径内のスーパーを検索。徒歩分数は距離÷80m/分で計算,"Google MapのAPIにコストが発生
",,,
物件住所,周辺施設一覧（コンビニ）,5,POI検索API（Google Places API / Yahoo!ローカルサーチAPI）,外部データ＋計算,住所から半径内のコンビニを検索。徒歩分数は距離÷80m/分で計算,"Google MapのAPIにコストが発生
",,,
物件住所,周辺施設一覧（公園）,5,POI検索API（Google Places API / Yahoo!ローカルサーチAPI）,外部データ＋計算,住所から半径内の公園を検索。徒歩分数は距離÷80m/分で計算,"Google MapのAPIにコストが発生
",,,
物件住所,周辺施設一覧（病院）,5,POI検索API（Google Places API / Yahoo!ローカルサーチAPI）,外部データ＋計算,住所から半径内の病院を検索。徒歩分数は距離÷80m/分で計算,"Google MapのAPIにコストが発生
",,,
物件住所,周辺地図,5,地図API（Google Maps Static API / 国土地理院API）,外部データ,住所を中心とした地図画像を取得,Map画像を使用する際に、商用利用はできるが「Google Mapデータ」の表記が必要,,,
物件住所,学区情報（小学校・中学校）,6,行政API / ガッコム等,外部データ,行政APIの利用可否、スクレイピングの可否の検証が必要。行政ごとにDBが異なり対応コスト高。,,,,
物件住所,子育て支援情報,6,行政API / LLM,外部データ＋AI生成,行政APIの利用可否、スクレイピングの可否の検証が必要。自治体の子育て支援制度をLLMが要約。行政ごとに差異あり,,,,
物件住所・面積・築年・価格,周辺相場比較,7,不動産API（SUUMO/LIFULL/レインズ等）,外部データ＋計算,同エリア・同条件の物件相場を取得し比較,,,,
物件住所・価格・相場データ,価格分析コメント,7,LLM（Gemini/Claude/GPT等）,AI生成,相場との比較をLLMが分析・コメント生成。精度要確認,,,,
物件住所,ハザードマップ画像,8,ハザードマップポータル（国土交通省）,外部データ,洪水・土砂災害・高潮等のリスク情報を取得,,,,
物件住所,災害リスクコメント,8,LLM（Gemini/Claude/GPT等）,AI生成,ハザード情報をLLMが解説。注意喚起文を含める,,,,
物件価格・年収・自己資金・金利・返済期間,資金計画シミュレーション,9,一次データ＋計算,一次データ＋計算,月々返済額・総返済額・借入可能額等を計算,,,,
物件価格,諸費用一覧（概算）,10,一次データ＋計算,計算,仲介手数料・登記費用・火災保険等を物件価格から概算,,,,
－,住宅ローン控除・税制情報,11,静的テンプレート,静的テンプレート,物件によらない一般的な税制情報。法改正時に更新必要,,,,
－,購入手続きフロー,12,静的テンプレート,静的テンプレート,申込→契約→決済の標準フロー図解。物件によらず共通,,,,
マイソク画像,マイソク,13,一次データ（マイソク）,一次データ,アップロードされたマイソク画像をそのまま表示,,,,